"drag-force-rfile"
"Iteration" "drag-force"
("Iteration" "drag-force")
1 0.01675995
2 0.01614793
3 0.01772633
4 0.02031894
5 0.02236343
6 0.0242484
7 0.0258775
8 0.0271283
9 0.02800124
10 0.02857333
11 0.02895053
12 0.02921593
13 0.02942559
14 0.02956304
15 0.02967291
16 0.02974893
17 0.02980689
18 0.0298598
19 0.02991554
20 0.02997402
21 0.03002447
22 0.03006452
23 0.03009824
24 0.03012478
25 0.03014315
26 0.03015593
27 0.03016468
28 0.03017045
29 0.03017402
30 0.03017589
31 0.03017666
32 0.03017658
33 0.03017612
34 0.03017541
35 0.0301748
36 0.03017434
37 0.03017435
38 0.03017486
39 0.03017612
40 0.03017819
41 0.03018144
42 0.03018549
43 0.03018854
44 0.03019203
45 0.03019609
46 0.03020057
47 0.03020557
48 0.03021058
49 0.03021539
