"lift-force-rfile"
"Iteration" "lift-force"
("Iteration" "lift-force")
1 -0.0001755017
2 -0.0002031468
3 -8.59465e-05
4 8.19715e-05
5 0.0002232822
6 0.0003810235
7 0.0005475921
8 0.0006801372
9 0.0007929392
10 0.0008865006
11 0.0009611402
12 0.001020529
13 0.00106724
14 0.001103646
15 0.001130513
16 0.001149666
17 0.00116396
18 0.00117361
19 0.001181606
20 0.001190369
21 0.001201492
22 0.001216104
23 0.001234553
24 0.001255333
25 0.001275018
26 0.001296118
27 0.001318185
28 0.001338292
29 0.001354974
30 0.0013678
31 0.001376458
32 0.001381703
33 0.001384114
34 0.001384311
35 0.001382904
36 0.001380426
37 0.001377387
38 0.001374105
39 0.001370836
40 0.001367673
41 0.001364693
42 0.001361909
43 0.001359346
44 0.001356985
45 0.001354828
46 0.001352858
47 0.001351074
48 0.001349454
49 0.001347996
50 0.001346674
51 0.00134548
52 0.0008230645
53 0.0009828039
54 0.001781736
55 0.002421375
56 0.002896443
57 0.003224569
58 0.00341992
59 0.003533551
60 0.003599908
61 0.003634945
62 0.003652371
63 0.00365595
64 0.00364814
65 0.003633505
66 0.003615663
67 0.003595485
68 0.003576073
69 0.003557549
70 0.003540301
71 0.003523851
72 0.003508245
73 0.003493999
74 0.003479022
75 0.003464176
76 0.003450222
77 0.003437619
78 0.003426419
79 0.003415358
80 0.003405995
81 0.003397882
82 0.003390817
83 0.003384329
84 0.00337802
85 0.00337149
86 0.003364572
87 0.003357335
88 0.003349748
89 0.003341871
90 0.003333835
91 0.003325744
92 0.003317739
93 0.00330995
94 0.003302516
95 0.003295507
96 0.003288994
97 0.003283032
98 0.003277652
99 0.003272818
100 0.003268551
101 0.003264816
102 0.003261578
103 0.003258771
